57530.17	17.13	0.04
57531.28	17.07	0.04
57532.19	17.03	0.05
57533.22	16.98	0.04
57534.18	16.93	0.03
57535.14	16.90	0.04
57536.23	16.86	0.04
57537.23	16.82	0.05
57538.17	16.79	0.05
57541.21	16.71	0.05
57542.21	16.70	0.05
57543.23	16.66	0.05
57544.16	16.66	0.06
57545.18	16.67	0.10
57546.29	16.61	0.05
57547.20	16.61	0.06
57548.17	16.62	0.05
57552.16	16.62	0.04
57556.19	16.63	0.04
57558.18	16.66	0.05
57566.24	16.77	0.08
57575.19	16.98	0.06
#57691.52	19.37	0.07
#57694.51	19.47	0.08
#57696.53	19.43	0.08
