# ph	T_bb	err	R_bb	err	L_bb	err

-79.02	1.56e+04	3.04e+03	1.20e+15	2.13e+14	6.10e+43	5.22e+43
-34.12	1.49e+04	2.30e+03	3.02e+15	4.48e+14	3.23e+44	2.21e+44
-30.11	1.42e+04	2.29e+03	3.21e+15	5.22e+14	2.97e+44	2.15e+44
-29.23	1.52e+04	2.59e+03	3.08e+15	5.09e+14	3.61e+44	2.73e+44
-26.41	1.64e+04	2.68e+03	2.90e+15	4.38e+14	4.28e+44	3.10e+44
-25.25	1.44e+04	1.41e+03	3.27e+15	3.18e+14	3.27e+44	1.43e+44
-22.30	1.13e+04	6.00e+02	4.28e+15	2.61e+14	2.16e+44	5.28e+43
-22.05	1.14e+04	9.34e+02	4.23e+15	4.04e+14	2.14e+44	8.12e+43
-21.89	1.19e+04	3.68e+02	4.15e+15	1.43e+14	2.46e+44	3.48e+43
-21.13	1.14e+04	1.47e+03	4.17e+15	6.25e+14	2.11e+44	1.26e+44
-19.68	1.18e+04	8.94e+02	4.12e+15	3.51e+14	2.34e+44	8.15e+43
-18.41	1.18e+04	1.40e+03	4.16e+15	5.58e+14	2.35e+44	1.29e+44
-17.12	1.14e+04	1.03e+03	4.32e+15	4.48e+14	2.27e+44	9.43e+43
-15.07	1.27e+04	2.28e+03	3.98e+15	7.59e+14	2.97e+44	2.41e+44
-14.36	1.12e+04	1.11e+03	4.47e+15	5.16e+14	2.24e+44	1.03e+44
-9.90	1.17e+04	3.53e+02	4.51e+15	1.53e+14	2.73e+44	3.77e+43
-9.48	1.17e+04	5.72e+02	4.47e+15	2.47e+14	2.71e+44	6.06e+43
-8.06	1.20e+04	1.18e+03	4.35e+15	4.77e+14	2.82e+44	1.27e+44
-6.40	1.18e+04	4.32e+02	4.56e+15	1.86e+14	2.90e+44	4.85e+43
-5.86	1.15e+04	2.17e+03	4.48e+15	9.67e+14	2.53e+44	2.20e+44
-5.45	1.21e+04	1.44e+03	4.34e+15	5.68e+14	2.90e+44	1.57e+44
-4.09	1.21e+04	9.59e+02	4.41e+15	3.91e+14	2.93e+44	1.07e+44
-3.04	1.21e+04	1.22e+03	4.41e+15	4.95e+14	2.94e+44	1.36e+44
0.40	1.23e+04	1.45e+03	4.32e+15	5.65e+14	3.02e+44	1.64e+44
0.47	1.26e+04	7.94e+02	4.30e+15	2.90e+14	3.37e+44	9.61e+43
1.26	1.21e+04	1.65e+03	4.36e+15	6.65e+14	2.87e+44	1.79e+44
2.18	1.17e+04	2.31e+03	4.42e+15	9.97e+14	2.59e+44	2.36e+44
3.99	1.23e+04	7.45e+02	4.33e+15	2.85e+14	3.06e+44	8.44e+43
6.68	1.15e+04	9.25e+02	4.67e+15	4.29e+14	2.76e+44	1.02e+44
7.33	1.12e+04	1.13e+03	4.74e+15	5.56e+14	2.54e+44	1.18e+44
13.41	1.11e+04	8.95e+02	4.61e+15	4.36e+14	2.30e+44	8.59e+43
16.30	1.03e+04	4.04e+02	4.94e+15	2.41e+14	1.93e+44	3.58e+43
18.72	1.02e+04	9.21e+02	4.82e+15	5.40e+14	1.82e+44	7.70e+43
19.25	1.03e+04	8.74e+02	4.80e+15	5.07e+14	1.86e+44	7.42e+43
19.64	1.02e+04	1.16e+03	4.74e+15	6.65e+14	1.75e+44	9.35e+43
23.10	9.28e+03	7.38e+02	5.27e+15	5.56e+14	1.47e+44	5.62e+43
24.64	9.50e+03	1.26e+03	4.95e+15	8.72e+14	1.43e+44	9.09e+43
25.09	9.65e+03	1.44e+03	4.87e+15	9.46e+14	1.46e+44	1.04e+44
26.68	8.99e+03	1.20e+03	5.18e+15	9.45e+14	1.25e+44	8.10e+43
27.77	9.04e+03	1.18e+03	5.21e+15	9.27e+14	1.30e+44	8.18e+43
30.03	8.49e+03	3.79e+02	5.57e+15	3.55e+14	1.15e+44	2.52e+43
30.03	8.45e+03	4.54e+02	5.57e+15	4.31e+14	1.13e+44	2.98e+43
30.48	9.10e+03	8.76e+02	5.04e+15	6.60e+14	1.24e+44	5.76e+43
31.67	9.10e+03	1.01e+03	4.95e+15	7.55e+14	1.20e+44	6.47e+43
33.10	9.32e+03	9.27e+02	4.82e+15	6.40e+14	1.25e+44	5.98e+43
33.12	8.96e+03	5.27e+02	5.11e+15	4.12e+14	1.20e+44	3.41e+43
38.35	7.99e+03	6.90e+02	5.71e+15	7.39e+14	9.48e+43	4.09e+43
38.51	8.20e+03	7.86e+02	5.51e+15	7.78e+14	9.81e+43	4.67e+43
41.59	8.01e+03	8.28e+02	5.68e+15	8.91e+14	9.47e+43	4.92e+43
43.13	8.13e+03	6.25e+02	5.68e+15	6.49e+14	1.00e+44	3.84e+43
43.97	8.52e+03	1.01e+03	5.25e+15	8.89e+14	1.03e+44	6.00e+43
47.99	8.50e+03	5.81e+02	5.27e+15	5.13e+14	1.03e+44	3.47e+43
48.28	8.44e+03	5.32e+02	5.32e+15	4.83e+14	1.02e+44	3.17e+43
53.61	8.13e+03	1.17e+03	5.33e+15	1.13e+15	8.87e+43	6.34e+43
54.27	7.88e+03	4.65e+02	5.58e+15	4.99e+14	8.53e+43	2.53e+43
54.53	7.54e+03	7.62e+02	5.72e+15	9.20e+14	7.52e+43	3.89e+43
54.69	7.99e+03	7.50e+02	5.36e+15	7.60e+14	8.34e+43	3.92e+43
58.30	7.78e+03	1.03e+03	5.36e+15	1.09e+15	7.50e+43	5.03e+43
64.10	7.28e+03	3.31e+02	5.77e+15	4.28e+14	6.69e+43	1.57e+43
67.30	7.04e+03	6.42e+02	5.71e+15	8.74e+14	5.69e+43	2.71e+43
69.24	7.26e+03	4.58e+02	5.49e+15	5.67e+14	5.96e+43	1.94e+43
74.50	7.02e+03	7.76e+02	5.43e+15	1.01e+15	5.09e+43	2.94e+43
81.46	6.72e+03	4.35e+02	5.75e+15	6.50e+14	4.81e+43	1.65e+43
87.45	6.89e+03	7.87e+02	5.33e+15	1.04e+15	4.57e+43	2.74e+43
93.70	7.25e+03	8.00e+02	5.03e+15	9.03e+14	4.98e+43	2.84e+43
99.13	7.06e+03	1.17e+03	4.84e+15	1.34e+15	4.16e+43	3.60e+43
103.92	6.87e+03	9.15e+02	4.95e+15	1.13e+15	3.90e+43	2.73e+43
115.26	6.79e+03	6.95e+02	4.92e+15	8.70e+14	3.68e+43	1.99e+43
120.97	7.00e+03	7.11e+02	4.54e+15	7.74e+14	3.52e+43	1.87e+43
243.60	5.83e+03	2.36e+02	2.90e+15	2.31e+14	6.95e+42	1.58e+42
269.01	6.34e+03	2.87e+03	1.91e+15	1.57e+15	4.23e+42	1.03e+43
270.74	5.06e+03	2.20e+03	2.83e+15	2.70e+15	3.74e+42	9.66e+42
276.10	5.48e+03	2.00e+03	2.60e+15	1.94e+15	4.33e+42	9.06e+42
288.45	7.26e+03	3.01e+03	1.21e+15	8.17e+14	2.91e+42	6.22e+42
290.61	6.56e+03	3.38e+03	1.39e+15	1.27e+15	2.56e+42	7.03e+42
297.72	4.64e+03	1.92e+03	2.78e+15	2.71e+15	2.55e+42	6.52e+42
301.47	6.35e+03	2.42e+03	1.42e+15	9.77e+14	2.32e+42	4.77e+42
307.32	6.10e+03	8.52e+02	1.58e+15	4.17e+14	2.47e+42	1.90e+42
312.96	6.19e+03	1.95e+03	1.49e+15	8.63e+14	2.30e+42	3.95e+42
318.13	6.64e+03	1.73e+03	1.12e+15	5.17e+14	1.73e+42	2.41e+42
320.19	6.51e+03	1.17e+03	1.28e+15	4.11e+14	2.10e+42	2.03e+42
326.44	5.69e+03	1.43e+03	1.48e+15	7.41e+14	1.65e+42	2.33e+42
346.75	8.89e+03	2.85e+03	6.22e+14	2.74e+14	1.72e+42	2.68e+42

#KEY
# _bb = blackbody fit to all wavelengths, _opt = fit only data redwards of 3000A
# L_bb = luminosity from Stefan-Boltzman; L_opt = same but using T_opt and R_opt
# (in contrast, bol_2015bn_griz.txt file contains trapezoidal integration over observed wavelengths)
