# ph	Lobs	err	L+BB	err	

-79.02	9.23e+42	2.37e+42	7.30e+43	5.38e+43
-34.12	5.41e+43	3.32e+42	3.89e+44	2.25e+44
-30.11	5.52e+43	2.24e+42	3.59e+44	2.15e+44
-29.23	5.77e+43	2.35e+42	4.33e+44	2.79e+44
-26.41	5.91e+43	3.04e+42	5.10e+44	3.21e+44
-25.25	5.87e+43	3.02e+42	3.93e+44	1.44e+44
-22.30	5.85e+43	2.91e+42	2.55e+44	4.61e+43
-22.05	5.90e+43	2.87e+42	2.54e+44	7.09e+43
-21.89	6.10e+43	3.02e+42	2.92e+44	3.16e+43
-21.13	5.93e+43	2.92e+42	2.52e+44	1.10e+44
-19.68	6.02e+43	3.01e+42	2.79e+44	7.33e+43
-18.41	6.12e+43	3.11e+42	2.80e+44	1.15e+44
-17.12	6.16e+43	3.07e+42	2.69e+44	8.27e+43
-15.07	6.72e+43	3.59e+42	3.57e+44	2.28e+44
-14.36	6.28e+43	3.13e+42	2.65e+44	8.84e+43
-9.90	6.94e+43	3.82e+42	3.23e+44	3.39e+43
-9.48	6.99e+43	3.43e+42	3.22e+44	5.44e+43
-8.06	7.06e+43	3.57e+42	3.36e+44	1.16e+44
-6.40	7.31e+43	3.67e+42	3.45e+44	4.38e+43
-5.86	7.14e+43	3.58e+42	3.04e+44	1.94e+44
-5.45	7.20e+43	3.66e+42	3.47e+44	1.44e+44
-4.09	7.34e+43	3.61e+42	3.51e+44	9.75e+43
-3.04	7.32e+43	3.67e+42	3.52e+44	1.25e+44
0.40	7.44e+43	3.68e+42	3.63e+44	1.51e+44
0.47	7.60e+43	3.78e+42	4.04e+44	9.07e+43
1.26	7.36e+43	3.64e+42	3.45e+44	1.64e+44
2.18	7.21e+43	3.61e+42	3.12e+44	2.11e+44
3.99	7.17e+43	3.98e+42	3.65e+44	7.83e+43
6.68	7.21e+43	3.43e+42	3.27e+44	9.02e+43
7.33	7.05e+43	3.46e+42	3.00e+44	1.02e+44
13.41	6.45e+43	3.26e+42	2.70e+44	7.34e+43
16.30	6.05e+43	2.93e+42	2.24e+44	2.84e+43
18.72	5.77e+43	2.81e+42	2.11e+44	6.08e+43
19.25	5.70e+43	2.66e+42	2.15e+44	5.90e+43
19.64	5.42e+43	3.00e+42	2.01e+44	7.37e+43
23.10	5.11e+43	2.78e+42	1.65e+44	3.96e+43
24.64	5.15e+43	2.44e+42	1.63e+44	6.58e+43
25.09	5.12e+43	2.50e+42	1.68e+44	7.71e+43
26.68	4.54e+43	2.46e+42	1.39e+44	5.47e+43
27.77	4.88e+43	2.34e+42	1.46e+44	5.56e+43
30.03	4.46e+43	2.11e+42	1.26e+44	1.58e+43
30.03	4.45e+43	2.03e+42	1.24e+44	1.86e+43
30.48	4.59e+43	2.17e+42	1.39e+44	3.95e+43
31.67	4.57e+43	2.12e+42	1.36e+44	4.44e+43
33.10	4.49e+43	2.14e+42	1.42e+44	4.23e+43
33.12	4.42e+43	2.10e+42	1.33e+44	2.30e+43
38.35	3.90e+43	1.88e+42	1.02e+44	2.34e+43
38.51	4.02e+43	1.87e+42	1.07e+44	2.77e+43
41.59	4.11e+43	1.84e+42	1.04e+44	2.82e+43
43.13	4.17e+43	1.90e+42	1.09e+44	2.26e+43
43.97	4.13e+43	1.94e+42	1.14e+44	3.76e+43
47.99	3.98e+43	2.04e+42	1.13e+44	2.17e+43
48.28	4.01e+43	1.84e+42	1.12e+44	1.97e+43
53.61	3.67e+43	1.78e+42	9.64e+43	3.71e+43
54.27	3.53e+43	1.73e+42	9.12e+43	1.42e+43
54.53	3.37e+43	1.49e+42	8.06e+43	2.04e+43
54.69	3.48e+43	1.58e+42	9.01e+43	2.24e+43
58.30	3.23e+43	1.50e+42	8.06e+43	2.76e+43
64.10	2.94e+43	1.29e+42	7.00e+43	7.91e+42
67.30	2.61e+43	1.16e+42	5.93e+43	1.29e+43
69.24	2.64e+43	1.16e+42	6.24e+43	9.69e+42
74.50	2.36e+43	1.05e+42	5.32e+43	1.39e+43
81.46	2.25e+43	9.79e+41	4.96e+43	7.46e+42
87.45	2.16e+43	9.63e+41	4.77e+43	1.27e+43
93.70	2.23e+43	1.04e+42	5.24e+43	1.41e+43
99.13	1.99e+43	9.10e+41	4.42e+43	1.72e+43
103.92	1.87e+43	8.33e+41	4.09e+43	1.26e+43
115.26	1.74e+43	7.60e+41	3.83e+43	9.05e+42
120.97	1.61e+43	7.40e+41	3.66e+43	8.81e+42
243.60	3.25e+42	1.57e+41	6.82e+42	6.55e+41
269.01	2.57e+42	1.34e+41	4.70e+42	4.35e+42
270.74	2.45e+42	1.27e+41	4.16e+42	4.05e+42
276.10	2.30e+42	1.17e+41	4.37e+42	3.66e+42
288.45	1.27e+42	7.61e+40	2.98e+42	3.08e+42
290.61	1.42e+42	7.58e+40	2.75e+42	3.06e+42
297.72	1.34e+42	6.98e+40	2.54e+42	2.94e+42
301.47	1.20e+42	6.21e+40	2.40e+42	2.01e+42
307.32	1.07e+42	6.11e+40	2.36e+42	7.79e+41
312.96	1.16e+42	5.91e+40	2.35e+42	1.63e+42
318.13	8.26e+41	5.54e+40	1.77e+42	1.06e+42
320.19	9.67e+41	4.84e+40	2.11e+42	8.76e+41
326.44	7.96e+41	4.00e+40	1.61e+42	9.36e+41
346.75	6.20e+41	3.82e+40	1.88e+42	1.78e+42

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL_obs_2015bn_griz.txt and logL_bb_2015bn_griz.txt for simple LC files
# Methodology:
# filters used:griz
# BB fit below 3000.0A suppressed by factor (lamda/3000.0)^1.0
