##phase	g	err	r	err	i	err	z	err	
#
-79.02	-19.72	0.52	-19.50	0.28	-19.34	0.36	-18.96	0.32
-34.12	-21.64	0.10	-21.42	0.18	-21.26	0.10	-20.88	0.10
-30.11	-21.65	0.08	-21.43	0.01	-21.33	0.10	-20.91	0.10
-29.23	-21.71	0.08	-21.49	0.01	-21.34	0.10	-20.92	0.10
-26.41	-21.75	0.10	-21.53	0.06	-21.31	0.10	-20.94	0.10
-25.25	-21.74	0.10	-21.49	0.06	-21.33	0.10	-21.02	0.10
-22.30	-21.68	0.10	-21.51	0.06	-21.34	0.10	-21.22	0.10
-22.05	-21.70	0.10	-21.51	0.01	-21.35	0.10	-21.22	0.10
-21.89	-21.72	0.10	-21.59	0.06	-21.36	0.10	-21.22	0.10
-21.13	-21.72	0.10	-21.49	0.01	-21.37	0.10	-21.21	0.10
-19.68	-21.73	0.10	-21.52	0.05	-21.39	0.10	-21.20	0.10
-18.41	-21.76	0.10	-21.51	0.06	-21.43	0.10	-21.22	0.10
-17.12	-21.75	0.10	-21.54	0.05	-21.43	0.10	-21.25	0.10
-15.07	-21.91	0.10	-21.56	0.08	-21.51	0.10	-21.29	0.10
-14.36	-21.77	0.10	-21.56	0.05	-21.43	0.10	-21.31	0.10
-9.90	-21.87	0.10	-21.69	0.13	-21.55	0.10	-21.36	0.10
-9.48	-21.88	0.10	-21.70	0.04	-21.55	0.10	-21.36	0.10
-8.06	-21.92	0.10	-21.68	0.05	-21.54	0.10	-21.38	0.10
-6.40	-21.92	0.10	-21.76	0.07	-21.61	0.10	-21.39	0.10
-5.86	-21.94	0.10	-21.66	0.02	-21.59	0.10	-21.39	0.10
-5.45	-21.95	0.10	-21.69	0.05	-21.57	0.10	-21.39	0.10
-4.09	-21.95	0.10	-21.74	0.02	-21.60	0.10	-21.39	0.10
-3.04	-21.95	0.10	-21.72	0.05	-21.62	0.10	-21.38	0.10
0.40	-21.97	0.10	-21.74	0.02	-21.64	0.10	-21.37	0.10
0.47	-21.97	0.10	-21.81	0.06	-21.64	0.10	-21.37	0.10
1.26	-21.96	0.10	-21.72	0.01	-21.63	0.10	-21.37	0.10
2.18	-21.95	0.10	-21.67	0.01	-21.62	0.10	-21.37	0.10
3.99	-21.93	0.10	-21.70	0.13	-21.59	0.10	-21.36	0.10
6.68	-21.87	0.10	-21.77	0.04	-21.64	0.10	-21.35	0.10
7.33	-21.86	0.10	-21.70	0.06	-21.65	0.10	-21.35	0.10
13.41	-21.79	0.10	-21.59	0.07	-21.49	0.10	-21.33	0.10
16.30	-21.67	0.10	-21.56	0.06	-21.44	0.10	-21.31	0.10
18.72	-21.64	0.10	-21.49	0.05	-21.36	0.10	-21.30	0.10
19.25	-21.60	0.10	-21.53	0.02	-21.30	0.10	-21.30	0.10
19.64	-21.57	0.10	-21.43	0.14	-21.25	0.10	-21.29	0.10
23.10	-21.47	0.10	-21.34	0.14	-21.29	0.10	-21.27	0.10
