# ph	T_bb	err	R_bb	err	L_bb	err	T_opt	err	R_opt	err	L_opt	err

-15.09	1.72e+04	5.82e+02	2.18e+15	1.02e+14	2.96e+44	4.87e+43	1.82e+04	1.00e+03	2.06e+15	1.15e+14	3.28e+44	8.11e+43
-14.71	1.67e+04	5.45e+02	2.31e+15	1.09e+14	2.97e+44	4.78e+43	1.69e+04	9.41e+02	2.28e+15	1.38e+14	3.00e+44	7.62e+43
-13.72	1.63e+04	5.33e+02	2.43e+15	1.13e+14	2.98e+44	4.78e+43	1.58e+04	1.31e+03	2.51e+15	2.35e+14	2.79e+44	1.06e+44
-13.34	1.65e+04	6.16e+02	2.38e+15	1.43e+14	2.98e+44	5.70e+43	1.68e+04	1.47e+03	2.32e+15	2.28e+14	3.03e+44	1.21e+44
-12.88	1.61e+04	4.83e+02	2.51e+15	1.13e+14	3.02e+44	4.53e+43	1.65e+04	8.59e+02	2.43e+15	1.40e+14	3.13e+44	7.44e+43
-11.95	1.57e+04	4.53e+02	2.66e+15	1.12e+14	3.08e+44	4.40e+43	1.73e+04	9.57e+02	2.39e+15	1.41e+14	3.65e+44	9.15e+43
-11.94	1.58e+04	5.10e+02	2.64e+15	1.42e+14	3.08e+44	5.18e+43	1.80e+04	4.53e+02	2.28e+15	6.12e+13	3.90e+44	4.44e+43
-11.08	1.55e+04	4.18e+02	2.74e+15	1.03e+14	3.08e+44	4.05e+43	1.62e+04	1.18e+03	2.61e+15	2.09e+14	3.32e+44	1.10e+44
-10.10	1.53e+04	3.95e+02	2.83e+15	1.03e+14	3.08e+44	3.90e+43	1.58e+04	1.11e+03	2.72e+15	2.14e+14	3.24e+44	1.05e+44
-9.22	1.50e+04	3.84e+02	2.92e+15	1.14e+14	3.08e+44	3.96e+43	1.53e+04	9.98e+02	2.85e+15	2.14e+14	3.17e+44	9.55e+43
-8.30	1.46e+04	3.61e+02	3.08e+15	1.11e+14	3.11e+44	3.80e+43	1.47e+04	1.15e+03	3.07e+15	2.85e+14	3.11e+44	1.14e+44
-7.97	1.43e+04	3.04e+02	3.13e+15	1.45e+14	2.91e+44	3.65e+43	1.48e+04	8.31e+02	2.99e+15	2.04e+14	3.03e+44	7.97e+43
-7.45	1.45e+04	3.70e+02	3.13e+15	1.25e+14	3.10e+44	4.02e+43	1.45e+04	1.15e+03	3.12e+15	2.95e+14	3.09e+44	1.14e+44
-4.69	1.40e+04	3.41e+02	3.37e+15	1.32e+14	3.12e+44	3.90e+43	1.50e+04	9.72e+02	3.11e+15	2.37e+14	3.46e+44	1.04e+44
-4.44	1.41e+04	3.69e+02	3.33e+15	1.55e+14	3.10e+44	4.35e+43	1.54e+04	7.65e+02	2.98e+15	1.74e+14	3.58e+44	8.25e+43
-3.80	1.38e+04	3.14e+02	3.45e+15	1.28e+14	3.09e+44	3.63e+43	1.50e+04	9.76e+02	3.12e+15	2.37e+14	3.54e+44	1.06e+44
-2.85	1.35e+04	2.49e+02	3.58e+15	1.03e+14	3.06e+44	2.85e+43	1.47e+04	8.54e+02	3.25e+15	2.23e+14	3.48e+44	9.41e+43
-2.72	1.35e+04	2.87e+02	3.60e+15	1.42e+14	3.06e+44	3.54e+43	1.47e+04	1.02e+03	3.24e+15	2.75e+14	3.49e+44	1.14e+44
-2.02	1.33e+04	2.37e+02	3.67e+15	1.03e+14	3.04e+44	2.75e+43	1.45e+04	8.07e+02	3.31e+15	2.18e+14	3.48e+44	8.99e+43
-1.09	1.32e+04	2.35e+02	3.74e+15	1.06e+14	3.01e+44	2.75e+43	1.45e+04	7.56e+02	3.34e+15	2.08e+14	3.49e+44	8.47e+43
-0.94	1.33e+04	2.26e+02	3.61e+15	1.36e+14	2.86e+44	2.91e+43	1.50e+04	9.22e+02	3.10e+15	2.29e+14	3.47e+44	9.95e+43
-0.09	1.30e+04	2.17e+02	3.82e+15	9.38e+13	2.96e+44	2.46e+43	1.39e+04	8.34e+02	3.50e+15	2.53e+14	3.31e+44	9.24e+43
0.75	1.29e+04	2.25e+02	3.86e+15	1.18e+14	2.92e+44	2.71e+43	1.42e+04	5.87e+02	3.43e+15	1.74e+14	3.38e+44	6.56e+43
0.91	1.25e+04	1.92e+02	4.00e+15	1.48e+14	2.82e+44	2.71e+43	1.45e+04	2.19e+02	3.34e+15	6.14e+13	3.51e+44	2.48e+43
1.63	1.27e+04	2.00e+02	3.90e+15	9.15e+13	2.86e+44	2.25e+43	1.41e+04	5.98e+02	3.45e+15	1.75e+14	3.34e+44	6.61e+43
