# ph	Lobs	err	L+BB	err	

-15.09	2.20e+44	1.24e+43	3.04e+44	3.66e+43
-14.71	2.22e+44	1.24e+43	3.08e+44	3.69e+43
-13.72	2.25e+44	1.25e+43	3.12e+44	3.82e+43
-13.34	2.26e+44	1.27e+43	3.07e+44	3.32e+43
-12.88	2.32e+44	1.27e+43	3.13e+44	3.22e+43
-11.95	2.41e+44	1.29e+43	3.17e+44	2.85e+43
-11.94	2.42e+44	1.30e+43	3.14e+44	2.53e+43
-11.08	2.41e+44	1.28e+43	3.18e+44	3.00e+43
-10.10	2.42e+44	1.27e+43	3.18e+44	2.86e+43
-9.22	2.44e+44	1.27e+43	3.18e+44	2.68e+43
-8.30	2.45e+44	1.26e+43	3.19e+44	2.60e+43
-7.97	2.44e+44	1.14e+43	3.07e+44	2.16e+43
-7.45	2.46e+44	1.26e+43	3.19e+44	2.60e+43
-4.69	2.54e+44	1.23e+43	3.20e+44	2.31e+43
-4.44	2.54e+44	1.24e+43	3.18e+44	2.17e+43
-3.80	2.52e+44	1.21e+43	3.15e+44	2.10e+43
-2.85	2.49e+44	1.17e+43	3.10e+44	1.82e+43
-2.72	2.50e+44	1.17e+43	3.10e+44	1.86e+43
-2.02	2.47e+44	1.15e+43	3.06e+44	1.69e+43
-1.09	2.45e+44	1.12e+43	3.02e+44	1.59e+43
-0.94	2.42e+44	1.04e+43	2.94e+44	1.47e+43
-0.09	2.41e+44	1.09e+43	2.98e+44	1.70e+43
0.75	2.40e+44	1.07e+43	2.94e+44	1.50e+43
0.91	2.42e+44	9.92e+42	2.90e+44	1.20e+43
1.63	2.36e+44	1.04e+43	2.88e+44	1.43e+43
3.82	2.28e+44	9.28e+42	2.72e+44	1.09e+43
5.25	2.18e+44	9.14e+42	2.62e+44	1.03e+43
8.91	1.92e+44	7.56e+42	2.30e+44	8.54e+42
9.53	1.86e+44	7.51e+42	2.22e+44	1.04e+43
10.71	1.78e+44	6.90e+42	2.14e+44	7.78e+42
11.61	1.70e+44	7.20e+42	2.05e+44	8.15e+42
11.85	1.72e+44	6.68e+42	2.07e+44	9.48e+42
14.36	1.60e+44	6.15e+42	1.93e+44	6.93e+42
41.17	3.91e+43	2.08e+42	5.54e+43	6.48e+42
44.18	3.66e+43	2.39e+42	5.01e+43	5.62e+42

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL_obs_Gaia16apd_SDAUBVri.txt and logL_bb_Gaia16apd_SDAUBVri.txt for simple LC files
# Methodology:
# filters used:SDAUBVri
# Separate BB fits above/below 3000A
