##phase	S	err	D	err	A	err	U	err	B	err	V	err	r	err	i	err	
#
-15.09	15.53	0.10	15.06	0.10	15.21	0.10	15.91	0.10	16.95	0.10	16.98	0.07	17.19	0.05	17.38	0.10
-14.71	15.53	0.10	15.07	0.10	15.20	0.10	15.90	0.10	16.96	0.10	16.92	0.05	17.13	0.10	17.35	0.10
-13.72	15.53	0.10	15.09	0.10	15.16	0.10	15.88	0.10	16.97	0.10	16.86	0.04	17.07	0.10	17.28	0.10
-13.34	15.54	0.10	15.10	0.10	15.15	0.10	15.87	0.10	16.88	0.10	17.03	0.11	17.05	0.10	17.27	0.10
-12.88	15.54	0.10	15.11	0.10	15.14	0.10	15.82	0.10	16.87	0.10	16.83	0.05	17.03	0.10	17.25	0.10
-11.95	15.55	0.10	15.12	0.10	15.11	0.10	15.73	0.10	16.78	0.10	16.76	0.04	16.98	0.10	17.21	0.10
-11.94	15.55	0.10	15.12	0.10	15.11	0.10	15.73	0.10	16.71	0.10	16.81	0.10	16.98	0.10	17.21	0.10
-11.08	15.56	0.10	15.13	0.10	15.11	0.10	15.73	0.10	16.81	0.10	16.73	0.03	16.93	0.10	17.16	0.10
-10.10	15.57	0.10	15.15	0.10	15.11	0.10	15.73	0.10	16.79	0.10	16.70	0.03	16.90	0.10	17.13	0.10
-9.22	15.58	0.10	15.16	0.10	15.12	0.10	15.73	0.10	16.76	0.10	16.66	0.04	16.86	0.10	17.09	0.10
-8.30	15.60	0.10	15.18	0.10	15.12	0.10	15.73	0.10	16.73	0.10	16.60	0.03	16.82	0.10	17.04	0.10
-7.97	15.62	0.04	15.18	0.10	15.12	0.10	15.73	0.10	16.75	0.10	16.63	0.07	16.81	0.10	17.03	0.10
-7.45	15.62	0.10	15.18	0.10	15.13	0.10	15.71	0.10	16.73	0.10	16.58	0.04	16.79	0.10	17.01	0.10
-4.69	15.69	0.10	15.19	0.10	15.17	0.10	15.59	0.10	16.64	0.10	16.53	0.04	16.71	0.10	16.91	0.10
-4.44	15.69	0.10	15.19	0.10	15.17	0.10	15.58	0.10	16.61	0.10	16.57	0.07	16.71	0.10	16.91	0.10
-3.80	15.71	0.10	15.24	0.10	15.20	0.10	15.58	0.10	16.62	0.10	16.51	0.04	16.70	0.10	16.91	0.10
-2.85	15.74	0.10	15.32	0.10	15.23	0.10	15.58	0.10	16.60	0.10	16.49	0.03	16.66	0.10	16.88	0.10
-2.72	15.75	0.10	15.33	0.10	15.24	0.10	15.58	0.10	16.60	0.10	16.44	0.07	16.66	0.10	16.88	0.10
-2.02	15.77	0.10	15.34	0.10	15.27	0.10	15.59	0.10	16.57	0.10	16.47	0.03	16.66	0.10	16.86	0.10
-1.09	15.81	0.10	15.36	0.10	15.30	0.10	15.60	0.10	16.55	0.10	16.46	0.03	16.67	0.10	16.85	0.10
-0.94	15.78	0.05	15.36	0.10	15.31	0.10	15.60	0.10	16.54	0.10	16.60	0.07	16.66	0.10	16.85	0.10
-0.09	15.85	0.10	15.39	0.10	15.34	0.10	15.59	0.10	16.60	0.10	16.46	0.02	16.61	0.10	16.83	0.10
0.75	15.89	0.10	15.42	0.10	15.37	0.10	15.58	0.10	16.56	0.10	16.46	0.04	16.61	0.10	16.81	0.10
0.91	15.91	0.04	15.42	0.10	15.38	0.10	15.58	0.10	16.50	0.10	16.47	0.06	16.61	0.10	16.81	0.10
1.63	15.93	0.10	15.47	0.10	15.40	0.10	15.59	0.10	16.57	0.10	16.47	0.02	16.62	0.10	16.81	0.10
3.82	16.03	0.04	15.62	0.10	15.45	0.10	15.62	0.10	16.51	0.10	16.54	0.07	16.62	0.10	16.82	0.10
5.25	16.13	0.10	15.72	0.10	15.57	0.10	15.66	0.10	16.55	0.10	16.47	0.04	16.62	0.10	16.83	0.10
8.91	16.37	0.10	15.98	0.10	15.89	0.10	15.77	0.10	16.59	0.10	16.53	0.03	16.63	0.10	16.84	0.10
9.53	16.42	0.10	16.02	0.10	15.94	0.10	15.79	0.10	16.59	0.10	16.64	0.09	16.64	0.10	16.84	0.10
10.71	16.51	0.10	16.16	0.10	16.02	0.10	15.85	0.10	16.63	0.10	16.58	0.04	16.66	0.10	16.85	0.10
11.61	16.58	0.10	16.27	0.10	16.08	0.10	15.90	0.10	16.66	0.10	16.65	0.16	16.67	0.10	16.85	0.10
11.85	16.60	0.10	16.30	0.10	16.09	0.10	15.91	0.10	16.67	0.10	16.49	0.08	16.68	0.10	16.85	0.10
14.36	16.80	0.10	16.42	0.10	16.17	0.10	15.98	0.10	16.69	0.10	16.63	0.07	16.71	0.10	16.86	0.10
41.17	18.83	0.14	18.93	0.10	18.45	0.10	17.86	0.10	18.36	0.10	17.53	0.17	17.61	0.16	17.76	0.16
44.18	18.85	0.07	19.12	0.10	18.52	0.07	17.93	0.06	18.43	0.05	17.60	0.25	17.68	0.19	17.83	0.19
#
## Reference band was V
## S: fit order=4; extrap method early=n;late=p
## D: Linear interp; extrap=c
## A: Linear interp; extrap=c
## U: Linear interp; extrap=c
## B: Linear interp; extrap=c
## r: Linear interp; extrap=c
## i: Linear interp; extrap=c
## p = polynomial, c = constant colour, a = average
